id,instruction,category,topic,reference_answer,generated_answer_base,bertscore_f1_base,rougeL_base,semantic_relevance_base,adherence_score_base,reference_support_score_base,hallucination_risk_flag_base,latency_seconds_base,tokens_per_second_base,generated_answer_lora,bertscore_f1_lora,rougeL_lora,semantic_relevance_lora,adherence_score_lora,reference_support_score_lora,hallucination_risk_flag_lora,latency_seconds_lora,tokens_per_second_lora,delta_bertscore_f1,delta_rougeL,delta_semantic_relevance,delta_adherence_score,delta_reference_support_score,delta_tokens_per_second,delta_latency_seconds,hallucination_risk_improved
mlds-ext-9a3f3c0f955e,Compare accuracy and F1-score.,algorithm_comparison,accuracy and F1-score,Accuracy measures the overall proportion of correct predictions. F1 balances precision and recall for the positive class. Accuracy is reasonable when classes and error costs are balanced; F1 is usually more informative when the positive class is rare or both major error types matter.,You are an educational ML and Data Science learning assistant,0.6927537,0.037037037037037035,0.10181528,0.21,0.077231,True,0.16832,77.2339,"Accurate accuracy and F1-score is a measure of the accuracy and reliability of a model. For example, accuracy is a measure of the accuracy and reliability of a model. For example, accuracy is a measure of accuracy and reliability of a model.",0.77023286,0.20689655172413796,0.774095,0.85,0.783208,False,0.947209,64.3997,0.07747918,0.16985951468710092,0.6722797,0.64,0.7059770000000001,-12.83420000000001,-0.7788889999999999,1
mlds-ext-194e4c01718a,Compare MAE and RMSE.,algorithm_comparison,MAE vs RMSE,"MAE averages absolute errors, while RMSE squares errors before averaging and therefore emphasizes large misses. Use MAE for a robust, directly interpretable average error. Use RMSE when large errors should receive extra penalty. Both depend on target scale and should be paired with residual analysis.",ML/DS,0.6142145,0.0,0.14554311,0.17,0.106343,True,0.130667,45.9183,MAE and RMSE are a two-dimensional model that can be used in a multi-dimensional model. They can be used in a multi-dimensional model. They can be used in a multi-dimensional model.,0.74358696,0.15,0.6963421,0.85,0.672684,False,0.775808,65.7379,0.12937248,0.15,0.550799,0.6799999999999999,0.566341,19.819599999999994,-0.6451410000000001,1
mlds-ext-04aabbbac1ba,Generate a small PEFT LoRA configuration for a T5 sequence-to-sequence model.,code_example,LoRA configuration,"```python
from peft import LoraConfig, TaskType

lora_config = LoraConfig(
    task_type=TaskType.SEQ_2_SEQ_LM,
    r=16,
    lora_alpha=32,
    lora_dropout=0.05,
    target_modules=['q', 'v'],
    bias='none'
)
```
Confirm target module names against the selected architecture and report trainable parameters.",You are an educational ML and Data Science learning assistant.,0.6652336,0.03773584905660377,0.12027119,0.21,0.138854,True,0.146316,95.6833,Small PEFT LoRA configuration for a T5 sequence-to-sequence model is a small configuration for a T5 sequence-to-sequence model.,0.6717305,0.06153846153846154,0.5798412,0.705,0.461919,False,0.856755,49.0222,0.0064969063,0.02380261248185777,0.45957,0.495,0.32306500000000005,-46.661100000000005,-0.710439,1
mlds-ext-1c693eea95b4,Explain class imbalance in simple terms.,concept_explanation,class imbalance,"Class imbalance means one target class appears much more often than another. Accuracy can then be misleading. Useful responses include stratified splits, class weights, resampling, threshold tuning, and metrics such as precision, recall, F1, and PR-AUC.",Describe class imbalance in ML/DS.,0.758969,0.09302325581395349,0.6909684,0.645,0.669941,False,0.187631,63.9551,Class imbalance is a class imbalance that is a class imbalance. Class imbalance is a class imbalance. Class imbalance is a class imbalance that is a class imbalance.,0.7570107,0.12307692307692308,0.7282709,0.925,0.720268,False,0.500583,75.9116,-0.0019583106,0.030053667262969597,0.037302494,0.28,0.05032700000000001,11.956500000000005,-0.312952,0
mlds-ext-7c901d2b9a9b,Explain embedding in simple terms.,concept_explanation,embedding,"An embedding is a dense numeric vector that represents an item such as a word, sentence, image, or customer. Similar items are designed to have nearby vectors, which enables semantic search, recommendation, and clustering.",Describe ML/DS as a learning assistant.,0.6971374,0.0975609756097561,0.2103457,0.42,0.205877,True,0.224618,62.328,"Using embedding in a dataset is a useful tool for learning a dataset. For example, embedding a dataset in a dataset. For example, embedding a dataset in a dataset. For example, embedding a dataset in a dataset.",0.7518263,0.11267605633802817,0.5868236,0.85,0.607468,False,1.087576,58.8465,0.05468887,0.01511508072827207,0.3764779,0.43,0.40159100000000003,-3.481500000000004,-0.8629580000000001,1
mlds-ext-b617b7c5dd38,Explain model drift in simple terms.,concept_explanation,model drift,Model drift is a decline or change in model behavior after deployment. Relationships between inputs and outcomes can evolve. Example: a defect classifier becoming less accurate after a product redesign. Drift detection requires timely labels or meaningful proxies.,Describe the model drift.,0.74846786,0.09523809523809525,0.7751582,0.42,0.745057,False,0.126452,63.265,Model drift is a measure of a model's performance. Model drift is a measure of a model's performance. Model drift is a measure of a model's performance. Model drift is a measure of a model's performance.,0.7712402,0.20512820512820512,0.7675936,0.85,0.777215,False,0.862478,67.2481,0.022772312,0.10989010989010987,-0.0075646043,0.43,0.03215800000000002,3.983099999999993,-0.736026,0
mlds-ext-58d17c7da556,Explain quantization in simple terms.,concept_explanation,quantization,"Quantization stores or computes model values with lower precision. It can reduce memory, download size, and inference latency. Example: using a four- or eight-bit ONNX model in a browser demo. Lower precision can affect quality and hardware compatibility.",Use a ML/DS learning assistant. Use ML/DS learning assistants.,0.7058645,0.08,0.056282934,0.443333,0.065664,True,0.207565,101.1731,Quantization is a measure of the size of a sample and the size of a sample. It is a measure of the size of a sample and the size of a sample. It is a measure of the size of the sample and the size of a sample.,0.72090554,0.16091954022988506,0.55548114,0.85,0.497868,False,1.040735,59.5733,0.015041053,0.08091954022988505,0.4991982,0.406667,0.432204,-41.5998,-0.83317,1
mlds-ext-c5952aa31ff1,Explain recurrent neural network in simple terms.,concept_explanation,recurrent neural network,A recurrent neural network updates a hidden state while processing a sequence. It models order and context in text or time-series data. Example: processing a sequence of sensor readings. Standard RNNs can struggle with long dependencies and vanishing gradients.,Describe recurrent neural networks.,0.8058839,0.13636363636363635,0.73873115,0.6,0.712146,False,0.181792,55.0078,Recurrent neural network is a recurrent network that is able to detect a recurrence of a recurrence. It is able to detect a recurrence of a recurrence of a recurrence of a recurrence of a recurrence of a recurrence.,0.7855049,0.20253164556962025,0.7256825,0.95,0.735074,False,1.405373,63.3284,-0.020379007,0.0661680092059839,-0.013048649,0.35,0.02292800000000006,8.320599999999999,-1.223581,0
mlds-ext-cfc17cfc3f66,Explain retrieval-augmented generation in simple terms.,concept_explanation,retrieval-augmented generation,Retrieval-augmented generation retrieves relevant sources and includes them in the model context before generation. It can improve grounding and make answers traceable to documents. Example: answering questions about a portfolio by retrieving README passages. Poor retrieval or ignored evidence can still produce incorrect answers.,Describe ML/DS as a learning assistant.,0.7166242,0.038461538461538464,0.2755922,0.42,0.274673,True,0.137976,101.467,A retrieval-augmented generation is a model that uses a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a re,0.6859889,0.09836065573770492,0.7164734,0.925,0.711016,False,3.201396,60.2862,-0.030635297,0.05989911727616645,0.4408812,0.5050000000000001,0.436343,-41.1808,-3.06342,1
mlds-ext-984bdb44fff8,Explain RMSE in simple terms.,concept_explanation,RMSE,Root Mean Squared Error is the square root of the average squared prediction error. It uses the target unit but penalizes large errors more strongly than MAE.,Describe RMSE in a concise and concise manner.,0.6683102,0.0,0.5822305,0.57,0.490391,False,0.200474,74.8227,RMSE is a method that uses a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample of a sample,0.6742993,0.023529411764705882,0.58226264,0.85,0.530847,False,3.010884,64.1008,0.0059890747,0.023529411764705882,3.2126904e-05,0.28,0.040455999999999936,-10.72189999999999,-2.81041,0
mlds-ext-636bfdc6ffb6,Explain self-supervised learning in simple terms.,concept_explanation,self-supervised learning,"Self-supervised learning creates training signals from the data itself, such as predicting masked tokens. It enables representation learning before a smaller supervised fine-tuning stage. Example: pretraining a language model on unlabeled technical text and then adapting it to ticket classification. Pretraining objectives do not guarantee downstream factual accuracy.","Do not provide legal, medical, or safety-critical advice.",0.7096918,0.06779661016949154,0.03927385,0.42,0.050209,True,0.16915,88.6784,"Self-supervised learning is a learning tool that can be used in a variety of contexts. For example, if a dataset is based on a dataset, a self-supervised learning tool can be used in a variety of contexts. For example, if a dataset is based on a dataset, a self-supervised learning tool can be used in a specific context.",0.7508012,0.16216216216216217,0.71363974,0.925,0.709328,False,1.486964,59.8535,0.041109383,0.09436555199267063,0.6743659,0.5050000000000001,0.659119,-28.8249,-1.317814,1
mlds-ext-981c55ca07dc,Explain semantic search in simple terms.,concept_explanation,semantic search,"Semantic search retrieves items by meaning rather than exact keyword overlap. It can match paraphrases and related concepts. Example: finding a project about defect detection from the query 'quality issue classifier'. Embedding quality, chunking, indexing, and evaluation determine usefulness.","You are an educational ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",0.72031224,0.029411764705882353,0.044812165,0.75,0.045311,True,0.603772,74.5315,A semantic search is a search for a specific object. It is a search for a specific object. It is a search for a specific object. It is a search for a specific object.,0.753291,0.1095890410958904,0.6768835,0.925,0.656149,False,0.746983,64.2585,0.032978773,0.08017727639000805,0.6320714,0.17500000000000004,0.610838,-10.272999999999996,-0.14321099999999998,1
mlds-ext-d89e0e561886,Give a practical ML example of class imbalance.,example_generation,class imbalance,"Practical example: defects representing 2 percent of all inspected units. Why it matters: A model can appear accurate while performing poorly on the minority class. Key caution: Use class-aware metrics, suitable sampling or weighting, and threshold analysis.",ML/DS is a ML/DS learning assistant. ML/DS is a ML/DS learning assistant.,0.6801571,0.037037037037037035,0.16083057,0.66,0.13989,True,0.42009,71.4133,Practical example: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance,0.65242416,0.04938271604938271,0.2807528,0.95,0.246588,True,3.099545,60.3314,-0.027732968,0.012345679012345678,0.119922236,0.2899999999999999,0.10669800000000002,-11.081900000000005,-2.679455,0
mlds-ext-1e0714d26ffc,Give a practical ML example of model drift.,example_generation,model drift,Practical example: a defect classifier becoming less accurate after a product redesign. Why it matters: Relationships between inputs and outcomes can evolve. Key caution: Drift detection requires timely labels or meaningful proxies.,ML/DS is a ML/DS learning assistant. ML/DS is a ML/DS learning assistant.,0.6875695,0.08333333333333333,0.14533028,0.66,0.122866,True,0.364982,82.1959,Practical example: a model drift is a model that can be used as a model based model. It can be used as a model based model. It can be used as a model based model.,0.7557607,0.1791044776119403,0.542981,0.95,0.483722,False,0.798267,61.383,0.06819123,0.09577114427860696,0.39765075,0.2899999999999999,0.36085599999999995,-20.812899999999992,-0.433285,1
mlds-ext-48e53e7aa70a,Give a practical ML example of quantization.,example_generation,quantization,"Practical example: using a four- or eight-bit ONNX model in a browser demo. Why it matters: It can reduce memory, download size, and inference latency. Key caution: Lower precision can affect quality and hardware compatibility.",You are an ML/DS learning assistant. You are an ML/DS learning assistant. You are an ML/DS learning assistant. You are an ML/DS learning assistant.,0.6616314,0.0,0.07811039,0.7,0.045051,True,0.477897,87.885,Practical example: quantization is a measure of the size of a sample. It is a measure of the size of a sample. It is a measure of the size of a sample.,0.72772783,0.2058823529411765,0.34011596,0.95,0.219276,True,0.815802,55.1604,0.066096425,0.2058823529411765,0.26200557,0.25,0.174225,-32.7246,-0.337905,0
mlds-ext-0c4b2a250432,Give a practical ML example of recurrent neural network.,example_generation,recurrent neural network,Practical example: processing a sequence of sensor readings. Why it matters: It models order and context in text or time-series data. Key caution: Standard RNNs can struggle with long dependencies and vanishing gradients.,ML/DS is a recurrent neural network.,0.7302046,0.04878048780487805,0.49660692,0.67,0.44819,False,0.235272,63.7561,Practical example: recurrent neural network is a recurrent neural network. It is a recurrent neural network. It is a recurrent network.,0.7669384,0.18181818181818185,0.6030265,0.95,0.565698,False,0.693772,54.773,0.036733806,0.1330376940133038,0.10641959,0.2799999999999999,0.11750800000000006,-8.9831,-0.4585,0
