query_id,query,split,domain
Q001,How can I find similar quality complaints and corrective actions?,test,quality-search
Q002,Why are bi-encoders fast for semantic retrieval?,test,retrieval
Q003,How does a cross-encoder improve ranking?,test,reranking
Q004,Which metrics should I use for ranked search evaluation?,test,evaluation
Q005,How should retrieval and reranking latency be measured?,test,evaluation
Q006,"Find a role focused on RAG, embeddings, and reranking.",test,job-search
Q007,"Find a quality data scientist role using complaints, Python, and SQL.",test,job-search
Q008,What is a lightweight alternative to FAISS for a small demo?,validation,vector-search
Q009,How can hybrid search handle part numbers and error codes?,validation,retrieval
Q010,What should be monitored after deploying a search system?,validation,monitoring
Q011,What are the risks of using ranking scores for hiring?,validation,responsible-ai
Q012,How does retrieval quality affect a RAG assistant?,validation,rag
