direction,source_text,reference_translation,predicted_translation,sentence_bleu,sentence_chrf,sentence_ter,heuristic_error_category,human_error_category,human_severity,human_translation_quality,human_notes
hi_en,राष्ट्रपति अर्मांडो जीबुझां ने अस्थिरता के बारे में चिंताओं को बेक़दर करने कीमांग की है.,President Armando Guebuza has sought to play down concerns about instability.,PRESIDENT THE PRESIDENT OF THE PRESIDENTS HAVE SHUDGE TO TITUE THE BHRMING OF TITITUDER.,2.628,0.9718,100,low_metric_review,other,high,weak,"The prediction is incoherent, contains severe repetition, and does not preserve the source meaning."
en_hi,"Ejaz Jaan, the legislator of the Poonch Assembly Constituency, set up a water cooler in the Gurudwara grounds.",पुंछ विधानसभा क्षेत्र के विधायक एजाज जान ने गुरुद्वारा परिसर में वाटर कूलर का उद्घाटन किया।,"पंडी सम्मेलन समिति के सहकारी, एहाज जे. जे. पी. पी. ए. पी. ए. पी. ए. ए. पी. ए. ए.",1.1231,7.5421,200,low_metric_review,other,high,weak,"The prediction is largely nonsensical, repeats characters, and loses the person, location, and event information."
en_hi,Where does this leave Scotland?,इन सबसे पश्चात स्कॉटलैंड का क्या होगा?,यह बाघ को कहां छोड़ देता है?,5.5224,8.9081,87.5,low_metric_review,named_entity,high,weak,"Scotland is incorrectly translated as a tiger, which completely changes the meaning."
hi_en,फ्री लिमो तथा रे नमो दोनों ही जोर देते हैं कि वे युद्ध से बचना चाहते हैं .,Both Frelimo and Renamo insist they want to avoid war.,Unable to escape war.,7.1213,9.3938,72.7273,possible_under_translation,missing_information,high,weak,"The prediction omits Frelimo, Renamo, and their stated intention to avoid war."
en_hi,Wallis Simpson may have been intersex.,हो सकता है कि वैलिस सिम्पसन इंटरसेक्स रहे हों।,विपणन शायद एक-दूसरे के बीच रहा हो।,0,9.7884,100,low_metric_review,other,high,weak,The prediction loses both the Wallis Simpson named entity and the meaning related to being intersex.
en_hi,Presenting CAT's trendy footwear and clothing collection.,कैट की ट्रैडी फुटवियर और परिधानों की सिलेक्शन पेश,सी. सी. ए. के उद्योग और कपड़े संग्रह प्रस्तुत करना।,3.0891,10.5379,133.3333,low_metric_review,named_entity,medium,weak,The CAT brand name is corrupted and the footwear-related meaning is only partially retained.
en_hi,Only wealth gained with self-respect is long lasting.,वही धन-संपदा टिकाऊ होती है जिसके साथ सम्मान जुड़ा हुआ हो।,केवल अपना माल ही काफी स्थायी है।,0,10.5891,100,low_metric_review,missing_information,high,weak,"The prediction omits the important ideas of wealth, self-respect, and long-lasting value."
hi_en,अब इन पर 12.50 फीसद वैट व 1.50 फीसद अतिरिक्त कर प्रस्तावित है।,Now a 12.5% VAT plus a 1.5% additional tax on these items is proposed.,Now they have 1250 fees and 1.50 fees.,2.3309,11.0354,88.2353,possible_under_translation,number_or_date,high,weak,"The 12.5 percent VAT value is incorrectly rendered as 1250, and the tax terminology is lost."
hi_en,धन को हम पवित्र उद्देश्य से कमाएं और पवित्र उद्देश्य से ही व्यय करें।,Wealth should be earned with a sacred objective and should also be spent on sacred objectives.,Let us use money for the holy purpose and for the holy purpose.,2.7258,11.1769,88.2353,low_metric_review,missing_information,medium,acceptable,"The sacred-purpose idea is retained, but the requirement to earn wealth for that purpose is omitted."
en_hi,This created a cold front in the valley.,इसके साथ ही पूरी वादी में शीतलहर शुरू हो गई है।,यह घाटी में एक शीत स्तर बनाया गया।,3.7955,11.63,90.9091,low_metric_review,technical_terminology,medium,acceptable,"The phrase cold front is translated inaccurately as a cold level, although the valley context remains."
en_hi,The water rail was fit and well by the time it was released.,छोड़े जाने से पहले वाटर रेल स्वस्थ और तंदुरुस्त हो गया था।,"पानी की रेल ठीक थी और जब तक उसे रिहा नहीं किया गया, तब तक ठीक-ठीक थी।",2.8265,11.8378,141.6667,low_metric_review,word_order,medium,acceptable,"The principal meaning is partly preserved, but the sentence structure is repetitive and unnatural."
en_hi,7.8 millimetres of rainfall was recorded.,जबकि 7.8 मिलीमीटर बारिश दर्ज की गई।,"7.8,000 वर्षा के रिकार्ड किए गए थे।",0,12.2347,100,number_mismatch,number_or_date,high,weak,"The value 7.8 millimetres is incorrectly changed to 7.8,000."
en_hi,"The play was inaugurated in the St. Joseph Inter College auditorium jointly by Chief Guest MLA Prabhdayal Valmiki, Cantonment Board Vice-president Shipra Rastogi, Nresh Kansal and Shakti Singh.","नाटक का शुभारंभ सेंट जोसेफ इंटर कालेज के सभागार में मुख्य अतिथि विधायक प्रभुदयाल वाल्मीकि, छावनी परिषद की उपाध्यक्ष शिप्रा रस्तोगी, नरेश कंसल और शक्ति सिंह ने संयुक्त रूप से किया।","इस नाटक का उद्घाटन मुख्य मेहमान, राष्ट्रपति भवन भवन भवन भवन में किया गया था।",2.1255,12.3594,90.9091,repetition,other,high,weak,"Most event details and named participants are missing, and the prediction contains repeated irrelevant words."
