document_id,title,document,category,source
DOC001,Two-stage retrieval for quality complaint search,"A quality analytics team indexes historical complaint narratives with a sentence-transformer bi-encoder. The top candidates are reranked with a cross-encoder so investigators can find similar cases, root causes, and corrective actions faster.",quality-search,synthetic
DOC002,FAISS indexing for large complaint archives,"This guide explains normalized dense embeddings, FAISS inner-product indexing, index persistence, and document metadata alignment for a large archive of manufacturing complaints.",vector-search,synthetic
DOC003,NumPy cosine search for small demonstrations,"For a small public portfolio demo, normalized embeddings and a NumPy matrix multiplication provide reliable cosine similarity without adding FAISS deployment complexity.",vector-search,synthetic
DOC004,Cross-encoder reranking of root-cause records,A cross-encoder jointly reads a search query and each retrieved root-cause record. It produces a relevance score that can improve ordering among semantically similar candidates.,reranking,synthetic
DOC005,Bi-encoder semantic retrieval fundamentals,"Bi-encoders encode queries and documents separately. Document vectors can be precomputed, making candidate retrieval fast enough for interactive semantic search and RAG pipelines.",retrieval,synthetic
DOC006,Latency benchmarking for retrieval systems,"Measure document embedding time, index build time, query encoding time, candidate retrieval time, cross-encoder reranking time, and total search latency across multiple top-k settings.",evaluation,synthetic
DOC007,Recall at K for candidate retrieval,Recall at K measures how many known relevant documents appear within the first K retrieved candidates. High candidate recall is important because the reranker cannot recover a relevant document that was never retrieved.,evaluation,synthetic
DOC008,MRR and nDCG for ranked search,Mean Reciprocal Rank rewards systems that place the first relevant result early. nDCG uses graded relevance and discounts useful documents that appear lower in the ranked list.,evaluation,synthetic
DOC009,Manual error analysis for semantic search,"Review ambiguous queries, keyword-only matches, semantically similar but wrong results, domain mismatch, missing context, and cross-encoder overconfidence. Record both successful and failed examples.",evaluation,synthetic
DOC010,Responsible use of job matching models,"Automated job and resume matching can reflect bias and incomplete information. Model scores must not be the sole basis for hiring, rejection, compensation, immigration, or employment decisions.",responsible-ai,synthetic
DOC011,Machine learning engineer — information retrieval,"Role requires Python, PyTorch, sentence-transformers, semantic search, vector databases, evaluation with MRR and nDCG, API development, and production monitoring.",job-search,synthetic
DOC012,Data scientist — quality analytics,"Role focuses on complaint analytics, root-cause discovery, statistical analysis, dashboards, Python, SQL, machine learning, stakeholder communication, and corrective-action insights.",job-search,synthetic
DOC013,Applied AI engineer — RAG and reranking,"Build retrieval-augmented generation applications using embedding models, hybrid search, cross-encoder reranking, prompt evaluation, grounded answers, citations, and observability.",job-search,synthetic
DOC014,NLP engineer — multilingual search,"Develop multilingual semantic search, query understanding, transformer fine-tuning, hard-negative mining, ranking evaluation, and low-latency model serving.",job-search,synthetic
DOC015,Analytics engineer — manufacturing data,"Create tested data models for manufacturing operations using SQL, dbt, Python, data quality checks, lineage, documentation, and business-facing metrics.",job-search,synthetic
DOC016,Quality engineer — corrective action systems,"Investigate nonconformances, perform root-cause analysis, manage CAPA records, analyze supplier issues, verify corrective actions, and improve quality-system documentation.",job-search,synthetic
DOC017,Hybrid search with dense and keyword retrieval,"Hybrid search combines semantic embeddings with lexical methods such as BM25. Score fusion can improve coverage for part numbers, error codes, acronyms, and natural-language descriptions.",retrieval,synthetic
DOC018,Hard-negative mining for ranking models,Hard negatives are plausible but nonrelevant documents retrieved by a strong first-stage model. They are useful for training ranking models to distinguish subtle relevance differences.,training,synthetic
DOC019,MS MARCO MiniLM cross-encoder,The MS MARCO MiniLM reranker scores query-passage pairs jointly. It is commonly used as a compact second-stage reranker because it offers a practical quality and latency tradeoff.,reranking,synthetic
DOC020,MiniLM sentence embeddings,The all-MiniLM-L6-v2 sentence-transformer maps sentences and short documents into a compact embedding space and is practical for CPU-based portfolio demonstrations.,retrieval,synthetic
DOC021,Search result monitoring and drift,"Monitor query mix, empty-result rate, click or relevance feedback, latency percentiles, index freshness, score distributions, and ranking quality to detect search-system drift.",monitoring,synthetic
DOC022,Knowledge-base search for corrective actions,"A searchable corrective-action knowledge base helps quality teams retrieve similar failures, containment plans, verified root causes, supplier actions, and effectiveness checks.",quality-search,synthetic
DOC023,RAG retrieval and citation grounding,"A RAG system retrieves relevant passages before generation. Candidate recall, reranking quality, source attribution, and citation correctness strongly affect answer groundedness.",rag,synthetic
DOC024,Deployment checklist for Hugging Face Spaces,"Keep app.py and requirements.txt at the Space root, load pretrained models lazily, avoid training at startup, use a small public-safe dataset, cache the index, and document resource limitations.",deployment,synthetic
