query_id,document_id,relevance
Q001,DOC001,3
Q001,DOC022,3
Q001,DOC016,2
Q002,DOC005,3
Q002,DOC020,2
Q002,DOC003,1
Q003,DOC004,3
Q003,DOC019,3
Q003,DOC001,1
Q004,DOC008,3
Q004,DOC007,3
Q004,DOC009,2
Q005,DOC006,3
Q005,DOC021,2
Q005,DOC024,1
Q006,DOC013,3
Q006,DOC011,2
Q006,DOC023,2
Q007,DOC012,3
Q007,DOC015,2
Q007,DOC001,1
Q008,DOC003,3
Q008,DOC002,2
Q008,DOC024,1
Q009,DOC017,3
Q009,DOC002,1
Q009,DOC020,1
Q010,DOC021,3
Q010,DOC006,2
Q010,DOC024,1
Q011,DOC010,3
Q011,DOC009,1
Q011,DOC016,1
Q012,DOC023,3
Q012,DOC007,2
Q012,DOC004,2
