id,instruction,input,reference_answer,category,topic,topic_group,prompt,generated_answer,model,base_model_id,adapter_path,device,precision,latency_seconds,input_tokens,output_tokens,tokens_per_second,peak_gpu_memory_gb,rouge1,rouge2,rougeL,semantic_reference_similarity,semantic_prompt_similarity,semantic_relevance,bertscore_precision,bertscore_recall,bertscore_f1,adherence_score,adherence_answered,adherence_topic_coverage,adherence_format_score,adherence_no_unnecessary_refusal,adherence_length_score,adherence_repetition_score,hallucination_risk_flag,hallucination_risk_types,hallucination_risk_severity,unsupported_numbers,reference_support_score
mlds-ext-9a3f3c0f955e,Compare accuracy and F1-score.,,Accuracy measures the overall proportion of correct predictions. F1 balances precision and recall for the positive class. Accuracy is reasonable when classes and error costs are balanced; F1 is usually more informative when the positive class is rare or both major error types matter.,algorithm_comparison,accuracy and F1-score,accuracy and f1-score,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Compare accuracy and F1-score.

Response:",You are an educational ML and Data Science learning assistant,base_model,google/flan-t5-small,,cuda,bf16,0.16832,61,13,77.2339,0.501,0.07407407407407407,0.0,0.037037037037037035,0.07723105,0.17556798,0.10181528,0.70503134,0.6808962,0.6927537,0.21,False,0.0,0.0,True,0.6,1.0,True,['low_reference_support'],review,[],0.077231
mlds-ext-194e4c01718a,Compare MAE and RMSE.,,"MAE averages absolute errors, while RMSE squares errors before averaging and therefore emphasizes large misses. Use MAE for a robust, directly interpretable average error. Use RMSE when large errors should receive extra penalty. Both depend on target scale and should be paired with residual analysis.",algorithm_comparison,MAE vs RMSE,mae vs rmse,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Compare MAE and RMSE.

Response:",ML/DS,base_model,google/flan-t5-small,,cuda,bf16,0.130667,60,6,45.9183,0.5009,0.0,0.0,0.0,0.10634266,0.2631445,0.14554311,0.6407523,0.5897875,0.6142145,0.17,False,0.0,0.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.106343
mlds-ext-04aabbbac1ba,Generate a small PEFT LoRA configuration for a T5 sequence-to-sequence model.,,"```python
from peft import LoraConfig, TaskType

lora_config = LoraConfig(
    task_type=TaskType.SEQ_2_SEQ_LM,
    r=16,
    lora_alpha=32,
    lora_dropout=0.05,
    target_modules=['q', 'v'],
    bias='none'
)
```
Confirm target module names against the selected architecture and report trainable parameters.",code_example,LoRA configuration,lora configuration,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Generate a small PEFT LoRA configuration for a T5 sequence-to-sequence model.

Response:",You are an educational ML and Data Science learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.146316,77,14,95.6833,0.5019,0.03773584905660377,0.0,0.03773584905660377,0.13885401,0.06452276,0.12027119,0.7201518,0.618098,0.6652336,0.21,False,0.0,0.0,True,0.6,1.0,True,['low_reference_support'],review,[],0.138854
mlds-ext-1c693eea95b4,Explain class imbalance in simple terms.,,"Class imbalance means one target class appears much more often than another. Accuracy can then be misleading. Useful responses include stratified splits, class weights, resampling, threshold tuning, and metrics such as precision, recall, F1, and PR-AUC.",concept_explanation,class imbalance,class imbalance,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain class imbalance in simple terms.

Response:",Describe class imbalance in ML/DS.,base_model,google/flan-t5-small,,cuda,bf16,0.187631,59,12,63.9551,0.5009,0.09302325581395349,0.048780487804878044,0.09302325581395349,0.66994053,0.75405186,0.6909684,0.7824528,0.7368538,0.758969,0.645,False,0.9,1.0,True,0.2,1.0,False,[],none,[],0.669941
mlds-ext-7c901d2b9a9b,Explain embedding in simple terms.,,"An embedding is a dense numeric vector that represents an item such as a word, sentence, image, or customer. Similar items are designed to have nearby vectors, which enables semantic search, recommendation, and clustering.",concept_explanation,embedding,embedding,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain embedding in simple terms.

Response:",Describe ML/DS as a learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.224618,60,14,62.328,0.5011,0.0975609756097561,0.05128205128205128,0.0975609756097561,0.20587738,0.22375064,0.2103457,0.6934424,0.70087194,0.6971374,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.205877
mlds-ext-b617b7c5dd38,Explain model drift in simple terms.,,Model drift is a decline or change in model behavior after deployment. Relationships between inputs and outcomes can evolve. Example: a defect classifier becoming less accurate after a product redesign. Drift detection requires timely labels or meaningful proxies.,concept_explanation,model drift,model drift,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain model drift in simple terms.

Response:",Describe the model drift.,base_model,google/flan-t5-small,,cuda,bf16,0.126452,59,8,63.265,0.5008,0.09523809523809525,0.05,0.09523809523809525,0.7450574,0.86546063,0.7751582,0.7836418,0.7163159,0.74846786,0.42,False,0.0,1.0,True,0.2,1.0,False,[],none,[],0.745057
mlds-ext-58d17c7da556,Explain quantization in simple terms.,,"Quantization stores or computes model values with lower precision. It can reduce memory, download size, and inference latency. Example: using a four- or eight-bit ONNX model in a browser demo. Lower precision can affect quality and hardware compatibility.",concept_explanation,quantization,quantization,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain quantization in simple terms.

Response:",Use a ML/DS learning assistant. Use ML/DS learning assistants.,base_model,google/flan-t5-small,,cuda,bf16,0.207565,59,21,101.1731,0.5013,0.08,0.041666666666666664,0.08,0.065664105,0.028139431,0.056282934,0.72954535,0.68367267,0.7058645,0.443333,False,0.0,1.0,True,0.6,0.666667,True,['low_reference_support'],review,[],0.065664
mlds-ext-c5952aa31ff1,Explain recurrent neural network in simple terms.,,A recurrent neural network updates a hidden state while processing a sequence. It models order and context in text or time-series data. Example: processing a sequence of sensor readings. Standard RNNs can struggle with long dependencies and vanishing gradients.,concept_explanation,recurrent neural network,recurrent neural network,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain recurrent neural network in simple terms.

Response:",Describe recurrent neural networks.,base_model,google/flan-t5-small,,cuda,bf16,0.181792,62,10,55.0078,0.5013,0.13636363636363635,0.09523809523809523,0.13636363636363635,0.7121464,0.81848514,0.73873115,0.87692815,0.74548817,0.8058839,0.6,False,0.72,1.0,True,0.2,1.0,False,[],none,[],0.712146
mlds-ext-cfc17cfc3f66,Explain retrieval-augmented generation in simple terms.,,Retrieval-augmented generation retrieves relevant sources and includes them in the model context before generation. It can improve grounding and make answers traceable to documents. Example: answering questions about a portfolio by retrieving README passages. Poor retrieval or ignored evidence can still produce incorrect answers.,concept_explanation,retrieval-augmented generation,retrieval-augmented generation,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain retrieval-augmented generation in simple terms.

Response:",Describe ML/DS as a learning assistant.,base_model,google/flan-t5-small,,cuda,bf16,0.137976,62,14,101.467,0.5011,0.038461538461538464,0.0,0.038461538461538464,0.27467328,0.27834904,0.2755922,0.72177726,0.7115442,0.7166242,0.42,False,0.0,1.0,True,0.2,1.0,True,['low_reference_support'],review,[],0.274673
mlds-ext-984bdb44fff8,Explain RMSE in simple terms.,,Root Mean Squared Error is the square root of the average squared prediction error. It uses the target unit but penalizes large errors more strongly than MAE.,concept_explanation,RMSE,rmse,"Context: You are an educational ML and Data Science learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.

Instruction: Explain RMSE in simple terms.

Response:",Describe RMSE in a concise and concise manner.,base_model,google/flan-t5-small,,cuda,bf16,0.200474,60,15,74.8227,0.5011,0.0,0.0,0.0,0.49039137,0.8577479,0.5822305,0.6657213,0.6709195,0.6683102,0.57,False,0.6,1.0,True,0.2,1.0,False,[],none,[],0.490391
