id,category,topic,instruction,reference_answer,generated_answer_base,generated_answer_lora,base_correctness_1_to_5,lora_correctness_1_to_5,base_relevance_1_to_5,lora_relevance_1_to_5,base_clarity_1_to_5,lora_clarity_1_to_5,preferred_model,hallucination_present_base,hallucination_present_lora,reviewer_notes
mlds-ext-9a3f3c0f955e,algorithm_comparison,accuracy and F1-score,Compare accuracy and F1-score.,Accuracy measures the overall proportion of correct predictions. F1 balances precision and recall for the positive class. Accuracy is reasonable when classes and error costs are balanced; F1 is usually more informative when the positive class is rare or both major error types matter.,You are an educational ML and Data Science learning assistant,"Accurate accuracy and F1-score is a measure of the accuracy and reliability of a model. For example, accuracy is a measure of the accuracy and reliability of a model. For example, accuracy is a measure of accuracy and reliability of a model.",,,,,,,,,,
mlds-ext-194e4c01718a,algorithm_comparison,MAE vs RMSE,Compare MAE and RMSE.,"MAE averages absolute errors, while RMSE squares errors before averaging and therefore emphasizes large misses. Use MAE for a robust, directly interpretable average error. Use RMSE when large errors should receive extra penalty. Both depend on target scale and should be paired with residual analysis.",ML/DS,MAE and RMSE are a two-dimensional model that can be used in a multi-dimensional model. They can be used in a multi-dimensional model. They can be used in a multi-dimensional model.,,,,,,,,,,
mlds-ext-04aabbbac1ba,code_example,LoRA configuration,Generate a small PEFT LoRA configuration for a T5 sequence-to-sequence model.,"```python
from peft import LoraConfig, TaskType

lora_config = LoraConfig(
    task_type=TaskType.SEQ_2_SEQ_LM,
    r=16,
    lora_alpha=32,
    lora_dropout=0.05,
    target_modules=['q', 'v'],
    bias='none'
)
```
Confirm target module names against the selected architecture and report trainable parameters.",You are an educational ML and Data Science learning assistant.,Small PEFT LoRA configuration for a T5 sequence-to-sequence model is a small configuration for a T5 sequence-to-sequence model.,,,,,,,,,,
mlds-ext-58d17c7da556,concept_explanation,quantization,Explain quantization in simple terms.,"Quantization stores or computes model values with lower precision. It can reduce memory, download size, and inference latency. Example: using a four- or eight-bit ONNX model in a browser demo. Lower precision can affect quality and hardware compatibility.",Use a ML/DS learning assistant. Use ML/DS learning assistants.,Quantization is a measure of the size of a sample and the size of a sample. It is a measure of the size of a sample and the size of a sample. It is a measure of the size of the sample and the size of a sample.,,,,,,,,,,
mlds-ext-cfc17cfc3f66,concept_explanation,retrieval-augmented generation,Explain retrieval-augmented generation in simple terms.,Retrieval-augmented generation retrieves relevant sources and includes them in the model context before generation. It can improve grounding and make answers traceable to documents. Example: answering questions about a portfolio by retrieving README passages. Poor retrieval or ignored evidence can still produce incorrect answers.,Describe ML/DS as a learning assistant.,A retrieval-augmented generation is a model that uses a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a re,,,,,,,,,,
mlds-ext-96422ba70df9,example_generation,self-supervised learning,Give a practical ML example of self-supervised learning.,Practical example: pretraining a language model on unlabeled technical text and then adapting it to ticket classification. Why it matters: It enables representation learning before a smaller supervised fine-tuning stage. Key caution: Pretraining objectives do not guarantee downstream factual accuracy.,"You are an ML/DS learning assistant. Answer clearly, stay within ML/DS topics, state uncertainty, and do not provide legal, medical, financial, immigration, or safety-critical advice.",Practical example: self-supervised learning is an example of self-supervised learning. For example: self-supervised learning is an example of self-supervised learning. For example: self-supervised learning is an example of self-supervised learning. For example: self-supervised learning is an example of self-supervised learning.,,,,,,,,,,
mlds-ext-d89e0e561886,example_generation,class imbalance,Give a practical ML example of class imbalance.,"Practical example: defects representing 2 percent of all inspected units. Why it matters: A model can appear accurate while performing poorly on the minority class. Key caution: Use class-aware metrics, suitable sampling or weighting, and threshold analysis.",ML/DS is a ML/DS learning assistant. ML/DS is a ML/DS learning assistant.,Practical example: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance: class imbalance,,,,,,,,,,
mlds-ext-261a67980f43,interview_answer,model drift,Give an interview-style answer explaining model drift.,"A strong interview answer is: Model drift is a decline or change in model behavior after deployment. Relationships between inputs and outcomes can evolve. For example, a defect classifier becoming less accurate after a product redesign. I would also mention that drift detection requires timely labels or meaningful proxies.",ML/DS,An interview answer is: Model drift is a model that can be used in a model. It is a model that can be used in a model. It is a model that can be used in a model. It can be used in a model.,,,,,,,,,,
mlds-ext-5206f35df89f,interview_answer,class imbalance,Give an interview-style answer explaining class imbalance.,"A strong interview answer is: Class imbalance means some labels occur much less often than others. A model can appear accurate while performing poorly on the minority class. For example, defects representing 2 percent of all inspected units. I would also mention that use class-aware metrics, suitable sampling or weighting, and threshold analysis.",ML/DS,A good interview answer is: Class imbalance is a result of class imbalance. Class imbalance is a result of class imbalance. Class imbalance is a result of class imbalance.,,,,,,,,,,
mlds-ext-95b0c749ba1f,metric_explanation,RMSE,Explain RMSE as a model-evaluation metric.,Root Mean Squared Error is the square root of MSE. Formula: square root of mean squared error. Use it to retain target units while emphasizing large errors. Limitation: It is sensitive to outliers.,Describe RMSE as a model-evaluation metric.,RMSE is a model-evaluation metric that compares a model to a model. It is a model-evaluation metric that compares a model to a model.,,,,,,,,,,
