question_id,question,answer,retrieved_project_ids,groundedness_score,citation_precision,citation_completeness,unsupported_claim_rate,generator_mode
q01,Which project performs abstractive text summarization?,Transformer,"['01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q02,Which project translates between English and Hindi?,Neural Machine Translation Transformer,"['02-neural-machine-translation-transformer', '02-neural-machine-translation-transformer', '02-neural-machine-translation-transformer', '02-neural-machine-translation-transformer', '02-neural-machine-translation-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q03,Which project combines a bi-encoder with a cross-encoder for ranking?,Cross Encoder Bi Encoder Ranking System,"['03-cross-encoder-bi-encoder-ranking-system', '03-cross-encoder-bi-encoder-ranking-system', '03-cross-encoder-bi-encoder-ranking-system', '03-cross-encoder-bi-encoder-ranking-system', '03-cross-encoder-bi-encoder-ranking-system']",0.0,0.0,0.0,1.0,google/flan-t5-base
q04,Which project handles question answering over long documents?,Long Document Question Answering Longformer,"['04-long-document-question-answering-longformer', '04-long-document-question-answering-longformer', '04-long-document-question-answering-longformer', '04-long-document-question-answering-longformer', '04-long-document-question-answering-longformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q05,Which project demonstrates instruction tuning for a domain-focused language model?,Neural Machine Translation Transformer,"['06-code-comment-generation-bilstm-attention', '06-code-comment-generation-bilstm-attention', '05-text-generation', '02-neural-machine-translation-transformer', '02-neural-machine-translation-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q06,Which project answers questions about images using both vision and language?,[S3],"['06-multimodal-visual-question-answering-transformer', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '06-multimodal-visual-question-answering-transformer', '09-vision-language-image-text-retrieval-clip']",0.0,0.0,1.0,1.0,google/flan-t5-base
q07,Which project demonstrates document semantic search with Sentence-BERT?,[S1],"['07-document-semantic-search-sentence-bert', '07-document-semantic-search-sentence-bert', '07-document-semantic-search-sentence-bert', '07-document-semantic-search-sentence-bert', '07-document-semantic-search-sentence-bert']",0.0,0.0,1.0,1.0,google/flan-t5-base
q08,Which project applies a Vision Transformer to image classification?,Vision Transformer,"['08-image-classification-vision-transformer', '08-image-classification-vision-transformer', '08-image-classification-vision-transformer', '08-image-classification-vision-transformer', '08-image-classification-vision-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q09,Which project uses CLIP for image-text retrieval?,Vision Language Image Text Retrieval,"['09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip']",0.0,0.0,0.0,1.0,google/flan-t5-base
q10,Which project is the Vercel-deployed portfolio RAG assistant?,Ai Portfolio,"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant']",0.0,0.0,0.0,1.0,google/flan-t5-base
q11,What portfolio work shows that I can summarize text with Transformers?,Project: Abstractive Text Summarization Transformer,"['01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer', '01-abstractive-text-summarization-transformer']",1.0,0.0,0.0,0.0,google/flan-t5-base
q12,Where do I demonstrate sequence-to-sequence language conversion and attention?,[S1],"['02-neural-machine-translation-transformer', 'bi-directional-lstm-projects', '12-text-summarization-seq2seq-attention', 'simple-rnn-projects', '12-text-summarization-seq2seq-attention']",0.0,0.0,1.0,1.0,google/flan-t5-base
q13,Which project first retrieves candidates efficiently and then reranks them more precisely?,Ai Portfolio RAG Assistant,"['04-question-answer-matching-siamese-bilstm', '10-ai-portfolio-rag-assistant', '04-question-answer-matching-siamese-bilstm', '03-cross-encoder-bi-encoder-ranking-system', '05-resume-job-description-matching-siamese-bilstm']",0.0,0.0,0.0,1.0,google/flan-t5-base
q14,What work shows that I can process inputs beyond ordinary Transformer context limits?,[S1],"['02-neural-machine-translation-transformer', 'transformer-projects', '04-long-document-question-answering-longformer', '02-neural-machine-translation-transformer', 'transformer-projects']",0.0,0.0,1.0,1.0,google/flan-t5-base
q15,Which project focuses on instruction following and responsible domain deployment?,CNN,"['transformer-projects', 'cnn-projects', 'cnn-projects', 'cnn-projects', '04-image-classification-resnet']",0.0,0.0,0.0,1.0,google/flan-t5-base
q16,What project demonstrates joint visual representation and language understanding?,1. Load and unload,"['06-multimodal-visual-question-answering-transformer', '06-multimodal-visual-question-answering-transformer', '06-multimodal-visual-question-answering-transformer', '06-multimodal-visual-question-answering-transformer', '06-multimodal-visual-question-answering-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q17,Where does the portfolio use embeddings and cosine similarity for browser-based document retrieval?,1. Project: Vision Language Image Text Retrieval CLIP Source: MODEL_CARD.md Section: Retrieval method 2. Document embeddings are generated offline using the pretrained CLIP image encoder. 3. Document embeddings are generated in browser memory using the same model and prefix configuration. 4. Cosine similarity is combined with lexical coverage. 5. Word Embedding Source: README.md Section: Word Explorer,"['10-ai-portfolio-rag-assistant', '09-vision-language-image-text-retrieval-clip', '03-cross-encoder-bi-encoder-ranking-system', '06-word-embedding', '09-vision-language-image-text-retrieval-clip']",0.0,0.0,0.0,1.0,google/flan-t5-base
q18,Which project uses patch embeddings and self-attention for computer vision?,Vision Transformer,"['08-image-classification-vision-transformer', '08-image-classification-vision-transformer', '08-image-classification-vision-transformer', '08-image-classification-vision-transformer', '08-image-classification-vision-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q19,Where are image and text embeddings aligned for cross-modal search?,Image-text matching,"['09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip', '09-vision-language-image-text-retrieval-clip']",0.0,0.0,0.0,1.0,google/flan-t5-base
q20,"Which project retrieves portfolio evidence, produces citations, and reports latency?",Ai Portfolio RAG Assistant,"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', 'archive']",0.0,0.0,0.0,1.0,google/flan-t5-base
q21,Which projects are deployed on Hugging Face?,Section: Transformer Projects,"['images', '02-neural-machine-translation-transformer', 'images', 'transformer-projects', 'pipeline-card']",0.0,0.0,0.0,1.0,google/flan-t5-base
q22,Which projects are designed for GitHub Pages?,CNN Projects,"['cnn-projects', 'transformer-projects', '07-document-semantic-search-sentence-bert', '09-vision-language-image-text-retrieval-clip', 'ann-deep-learning-projects']",0.0,0.0,0.0,1.0,google/flan-t5-base
q23,Which project is designed specifically for Vercel?,Object Detection Using CNN,"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '02-object-detection-using-cnn', '05-fine-grained-image-classification-vgg16', '01-image-segmentation-unet-medical-imaging']",0.0,0.0,0.0,1.0,google/flan-t5-base
q24,"Compare the deployment platforms used by Projects 06, 08, and 10.",Project: ANN Deep Learning Projects,"['cnn-projects', 'bi-directional-lstm-projects', 'lstm-projects', 'ann-deep-learning-projects', 'lstm-projects']",0.0,0.0,0.0,1.0,google/flan-t5-base
q25,Which projects demonstrate browser-oriented or static deployment?,[S3] Project: CNN Projects Source: README.md Section: Reliable and Reusable Engineering Evidence: [S1],"['04-long-document-question-answering-longformer', 'web', 'cnn-projects', 'images', 'cnn-projects']",0.0,0.0,1.0,1.0,google/flan-t5-base
q26,Which projects demonstrate semantic retrieval or vector search?,Word Embedding,"['07-document-semantic-search-sentence-bert', '07-document-semantic-search-sentence-bert', '06-word-embedding', '06-word-embedding', '07-document-semantic-search-sentence-bert']",0.0,0.0,0.0,1.0,google/flan-t5-base
q27,Which projects combine computer vision with Transformer methods?,Transformer Projects,"['transformer-projects', 'transformer-projects', 'transformer-projects', 'transformer-projects', '08-image-classification-vision-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q28,Which projects are strongest evidence of NLP experience?,Project: Word Embedding,"['06-word-embedding', '06-word-embedding', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant']",0.0,0.0,0.0,1.0,google/flan-t5-base
q29,"Which projects demonstrate ranking, retrieval, or search skills?",[S3],"['03-cross-encoder-bi-encoder-ranking-system', 'pipeline-card', '03-cross-encoder-bi-encoder-ranking-system', '10-ai-portfolio-rag-assistant', '03-cross-encoder-bi-encoder-ranking-system']",0.0,0.0,1.0,1.0,google/flan-t5-base
q30,Which project most directly demonstrates full-stack AI application development?,CLIP,"['01-abstractive-text-summarization-transformer', '04-long-document-question-answering-longformer', '09-vision-language-image-text-retrieval-clip', '06-code-comment-generation-bilstm-attention', 'ann-deep-learning-projects']",0.0,0.0,0.0,1.0,google/flan-t5-base
q31,What parts of the complete portfolio corpus are still missing?,[S1],"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant']",0.0,0.0,1.0,1.0,google/flan-t5-base
q32,"Does the current corpus fully include ANN, RNN, LSTM, BiLSTM, and CNN documentation?",Yes,"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', 'bi-directional-lstm-projects', '07-document-semantic-search-sentence-bert', '01-abstractive-text-summarization-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q33,What source types should be added to complete the portfolio index?,[S1] and [S2],"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant']",0.0,0.0,1.0,1.0,google/flan-t5-base
q34,Why should the assistant avoid claiming complete portfolio coverage right now?,[S1],"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant']",0.0,0.0,1.0,1.0,google/flan-t5-base
q35,Which project measures response latency and displays source citations?,[S1],"['10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant', '10-ai-portfolio-rag-assistant']",0.0,0.0,1.0,1.0,google/flan-t5-base
q36,What salary did Anmol earn in 2025?,Bitcoin price predictions inaccurate.,"['06-multimodal-visual-question-answering-transformer', '02-bitcoin-price-prediction', 'data', '05-resume-job-description-matching-siamese-bilstm', '02-bitcoin-price-prediction']",0.0,0.0,0.0,1.0,google/flan-t5-base
q37,Which private company quality case had the highest defect quantity?,[S1],"['03-named-entity-recognition-bilstm-crf', '03-named-entity-recognition-bilstm-crf', '05-resume-job-description-matching-siamese-bilstm', '04-customer-lifetime-value-forecasting', '04-customer-lifetime-value-forecasting']",0.0,0.0,1.0,1.0,google/flan-t5-base
q38,What is Anmol's home address?,text http://localhost:8501,"['06-code-comment-generation-bilstm-attention', '04-question-answer-matching-siamese-bilstm', '03-named-entity-recognition-bilstm-crf', '11-weather-forecasting-convlstm', '06-multimodal-visual-question-answering-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q39,Which project achieved exactly 99.9 percent accuracy?,ANN Deep Learning Projects,"['07-handwritten-digit-recognition', '04-image-classification-resnet', '05-fine-grained-image-classification-vgg16', 'ann-deep-learning-projects', '08-image-classification-vision-transformer']",0.0,0.0,0.0,1.0,google/flan-t5-base
q40,Which employer officially certified these project results?,Anmol Tripathi,"['05-resume-job-description-matching-siamese-bilstm', '05-resume-job-description-matching-siamese-bilstm', '05-resume-job-description-matching-siamese-bilstm', '05-resume-job-description-matching-siamese-bilstm', '05-resume-job-description-matching-siamese-bilstm']",0.0,0.0,0.0,1.0,google/flan-t5-base
