id,instruction,input,output,category,difficulty,topic,source,split
ml_ds_v3_0109,Compare random forest and gradient boosting.,,"Random forest builds many independent trees and averages them, making it robust and easier to tune. Gradient boosting builds trees sequentially to correct errors and can achieve higher accuracy, but it is more sensitive to hyperparameters and noise.",Algorithm comparison,intermediate,ensemble learning,self-authored-synthetic,train
ml_ds_v3_0228,Contrast ROC-AUC with PR-AUC and give a decision rule for choosing between them.,"Use the headings Core difference, Prefer the first, Prefer the second, and Caveat.","Core difference: ROC-AUC summarizes ranking across true-positive and false-positive rates, while PR-AUC focuses on precision and recall for the positive class. Prefer ROC-AUC: Use ROC-AUC for broad discrimination comparisons. Prefer PR-AUC: Use PR-AUC when the positive class is rare and positive-case performance is central. Caveat: PR-AUC changes with prevalence, and both are threshold-independent summaries rather than operating-point metrics.",Algorithm comparison,intermediate,ROC-AUC vs PR-AUC,expert-curated-v3-comparison,validation
ml_ds_v3_0257,Compare clustering and classification.,,"Clustering discovers groups without target labels, while classification learns to predict known labels from labeled examples. Cluster quality requires interpretation; classification quality can be measured against ground truth.",Algorithm comparison,intermediate,learning paradigms,self-authored-synthetic,test
ml_ds_v3_0223,Contrast overfitting with underfitting and give a decision rule for choosing between them.,"Use the headings Core difference, Prefer the first, Prefer the second, and Caveat.","Core difference: Overfitting captures training-specific noise, while underfitting fails to capture the main signal. Prefer overfitting: Address overfitting with simpler models, regularization, more representative data, or stronger validation. Prefer underfitting: Address underfitting with better features, more appropriate model capacity, or improved optimization. Caveat: A leakage-prone validation design can hide both problems.",Algorithm comparison,intermediate,overfitting vs underfitting,expert-curated-v3-comparison,train
ml_ds_v3_0312,Explain data drift to a beginner without using a circular definition.,Include a practical example and one limitation in plain language.,"The model sees different feature values or populations than it saw during training. In formal terms, Data drift is a change in the distribution of model inputs over time. For example, A sensor upgrade can shift the scale of measurements even if the relationship with failure remains unchanged. A limitation to remember is that drift does not always reduce performance, but it should trigger investigation and comparison with outcome metrics.",Beginner-friendly explanation,beginner,data drift,expert-curated-v3-topic-card,train
ml_ds_v3_0139,Explain Transformer to a beginner without using a circular definition.,Include a practical example and one limitation in plain language.,"Each token can directly combine information from other relevant tokens, enabling parallel processing during training. In formal terms, A Transformer represents sequences mainly through attention and position information rather than recurrent state updates. For example, Transformers support language generation, translation, document search, vision models, and multimodal systems. A limitation to remember is that attention cost can grow quickly with sequence length, and strong language generation does not guarantee factual correctness.",Beginner-friendly explanation,beginner,Transformer,expert-curated-v3-topic-card,test
ml_ds_v3_0235,Explain full fine-tuning to a beginner without using a circular definition.,Include a practical example and one limitation in plain language.,"The entire model can adapt, providing high capacity but requiring more memory, storage, and careful regularization. In formal terms, Full fine-tuning updates all or most parameters of a pretrained model on task-specific data. For example, A large labeled corpus can be used to update every layer of a language model. A limitation to remember is that full fine-tuning can be expensive, overfit small datasets, and create a separate large checkpoint for each task.",Beginner-friendly explanation,beginner,full fine-tuning,expert-curated-v3-topic-card,train
ml_ds_v3_0441,Explain model deployment to a beginner without using a circular definition.,Include a practical example and one limitation in plain language.,"Deployment connects model artifacts, preprocessing, inputs, outputs, monitoring, and user interaction. In formal terms, Model deployment makes a trained model available for reliable inference in an application or service. For example, A Gradio app can load a base model and LoRA adapter from Hugging Face and answer educational questions. A limitation to remember is that the deployed pipeline must match training preprocessing and handle latency, resource limits, failures, privacy, and model versioning.",Beginner-friendly explanation,beginner,model deployment,expert-curated-v3-topic-card,train
ml_ds_v3_0368,"Teach the core idea of L1 regularization using a definition, intuition, example, and caveat.",Write for an intermediate ML learner and keep every section technically precise.,"Definition: L1 regularization adds the absolute values of model coefficients to the loss function. Intuition: The penalty encourages some coefficients to become exactly zero, creating a sparse model. Example: Lasso regression can perform prediction while removing weak linear features. Important caveat: With highly correlated predictors, L1 may select one feature somewhat arbitrarily and discard others with similar information.",Concept explanation,intermediate,L1 regularization,expert-curated-v3-topic-card,validation
ml_ds_v3_0131,"Teach the core idea of feature selection using a definition, intuition, example, and caveat.",Write for an intermediate ML learner and keep every section technically precise.,"Definition: Feature selection chooses a subset of available predictors to improve simplicity, stability, speed, or generalization. Intuition: Removing redundant or noisy features can make the model easier to understand and less sensitive to random variation. Example: Selection can use domain knowledge, regularization, permutation importance, or cross-validated recursive elimination. Important caveat: Selection must be performed within the training folds; selecting on the full dataset leaks validation information.",Concept explanation,intermediate,feature selection,expert-curated-v3-topic-card,validation
