model_name,controlled_target_tokens,examples,exact_match,token_f1,evidence_recovered,evidence_token_recall,average_latency_seconds,average_windows
BERT truncated 512,384,12,0.4166666666666667,0.5696649029982364,0.8333333333333334,0.9037037037037038,0.020591975000570528,1.0
BERT truncated 512,768,12,0.08333333333333333,0.08950617283950617,0.16666666666666666,0.27483828629114954,0.02036956666658322,1.0
BERT truncated 512,1536,12,0.08333333333333333,0.14773763911694945,0.16666666666666666,0.3438101394225293,0.02243222499479695,1.0
BERT truncated 512,3072,12,0.08333333333333333,0.10275835275835277,0.08333333333333333,0.2376230463147804,0.025531658340090264,1.0
BERT truncated 512,4608,12,0.08333333333333333,0.1048951048951049,0.08333333333333333,0.2992065754834572,0.028508583335982014,1.0
Longformer SQuAD sliding windows,384,12,0.3333333333333333,0.4934343434343434,0.75,0.8358024691358025,0.06816069167204357,1.0
Longformer SQuAD sliding windows,768,12,0.25,0.4136738906088751,0.5833333333333334,0.729773994424532,0.07133218333668385,1.0
Longformer SQuAD sliding windows,1536,12,0.0,0.13654970760233917,0.25,0.45772529887152297,0.08053487500001211,1.0
Longformer SQuAD sliding windows,3072,12,0.16666666666666666,0.3242424242424242,0.4166666666666667,0.5802561217227383,0.15887252500397153,2.0
Longformer SQuAD sliding windows,4608,12,0.08333333333333333,0.1414141414141414,0.25,0.4190843997467528,0.23718954166785503,3.0
Longformer QASPER fine-tuned,384,12,0.5,0.6670454545454545,0.8333333333333334,0.9037037037037038,0.07243051666591782,1.0
Longformer QASPER fine-tuned,768,12,0.5,0.6670454545454545,0.8333333333333334,0.9037037037037038,0.07527149165495454,1.0
Longformer QASPER fine-tuned,1536,12,0.25,0.42843434343434345,0.6666666666666666,0.7766862170087977,0.07720827500937351,1.0
Longformer QASPER fine-tuned,3072,12,0.25,0.4398148148148148,0.6666666666666666,0.7799663299663299,0.16716532500868198,2.0
Longformer QASPER fine-tuned,4608,12,0.25,0.4398148148148148,0.6666666666666666,0.7818602693602693,0.2461085750013202,3.0
